"","WFC.Open","WFC.High","WFC.Low","WFC.Close","WFC.Volume","WFC.Adjusted","id"
"2015-04-29",55.169998,55.759998,55.080002,55.459999,18144500,53.528478,81
"2015-04-30",55.650002,55.650002,54.779999,55.099998,16577800,53.181015,82
"2015-05-01",55.259998,55.580002,54.959999,55.189999,12069400,53.26788,83
"2015-05-04",55.27,55.77,55.259998,55.73,9981800,53.789075,84
"2015-05-05",55.73,56.200001,55.599998,55.720001,17068100,53.779424,85
"2015-05-06",55.43,55.599998,54.450001,54.919998,15670700,53.366444,86
"2015-05-07",54.959999,55.189999,54.610001,54.810001,14723100,53.259559,87
"2015-05-08",55.169998,56.049999,55.09,56.049999,17477500,54.46448,88
"2015-05-11",55.919998,55.959999,55.439999,55.509998,12922100,53.939754,89
"2015-05-12",55.310001,55.639999,55,55.470001,11705900,53.900889,90
"2015-05-13",55.470001,55.830002,55.369999,55.599998,11448100,54.027209,91
"2015-05-14",55.950001,56.130001,55.720001,56.040001,11025400,54.454764,92
"2015-05-15",56.040001,56.040001,55.299999,55.52,13323200,53.949473,93
"2015-05-18",55.580002,55.98,55.549999,55.75,10637300,54.172967,94
"2015-05-19",55.900002,56.700001,55.889999,56.400002,17194100,54.804581,95
"2015-05-20",56.32,56.369999,55.93,56.080002,13292000,54.493634,96
"2015-05-21",55.91,56.18,55.830002,56.009998,13466700,54.42561,97
"2015-05-22",56.040001,56.23,55.990002,56,8568800,54.415895,98
"2015-05-26",55.970001,56,55.459999,55.66,15859100,54.085513,99
"2015-05-27",55.919998,56.310001,55.709999,56.07,12526100,54.483915,100
"2015-05-28",56.110001,56.299999,55.889999,56.209999,10348700,54.619954,101
"2015-05-29",56.25,56.259998,55.68,55.959999,17291500,54.377026,102
"2015-06-01",56.240002,56.490002,55.799999,56.040001,15746200,54.454764,103
"2015-06-02",56.009998,56.450001,55.740002,56.18,13148700,54.590804,104
"2015-06-03",56.349998,57.200001,56.349998,56.91,16197700,55.300153,105
"2015-06-04",56.529999,56.889999,55.93,56.139999,17627100,54.551934,106
"2015-06-05",57.040001,57.220001,56.400002,56.610001,16890300,55.00864,107
"2015-06-08",56.939999,56.939999,56.119999,56.119999,14248400,54.532499,108
"2015-06-09",56.23,56.93,56,56.700001,14669900,55.096094,109
"2015-06-10",56.98,57.57,56.91,57.209999,18622400,55.591666,110
"2015-06-11",57.259998,57.57,57.07,57.259998,13943300,55.640251,111
"2015-06-12",57.130001,57.290001,56.740002,57.09,13439000,55.475062,112
"2015-06-15",56.650002,57.07,56.48,56.98,12920600,55.368173,113
"2015-06-16",56.849998,57.240002,56.73,57.220001,10476100,55.601385,114
"2015-06-17",57.310001,57.549999,57.099998,57.169998,17497700,55.552797,115
"2015-06-18",57.290001,57.84,57.189999,57.700001,18299900,56.067807,116
"2015-06-19",57.419998,57.57,57.049999,57.049999,36241100,55.436192,117
"2015-06-22",57.580002,58.040001,57.529999,57.91,15111200,56.271866,118
"2015-06-23",58,58.259998,57.759998,57.889999,13354200,56.252431,119
"2015-06-24",57.669998,58.150002,57.540001,57.540001,16166600,55.912333,120
"2015-06-25",57.75,57.790001,57.130001,57.169998,14053600,55.552797,121
"2015-06-26",57.34,57.580002,57.290001,57.439999,16975900,55.81516,122
"2015-06-29",56.799999,57.189999,56.009998,56.060001,19289700,54.474199,123
"2015-06-30",56.540001,56.880001,55.990002,56.240002,17346700,54.649108,124
"2015-07-01",57.09,57.200001,56.610001,56.91,12165300,55.300153,125
"2015-07-02",56.84,57.139999,56.52,56.740002,10106800,55.134964,126
"2015-07-06",56.099998,56.529999,56.009998,56.439999,11682100,54.843447,127
"2015-07-07",56.32,56.470001,55.080002,56.25,15831800,54.658823,128
"2015-07-08",55.84,56.169998,55.209999,55.25,12906600,53.687111,129
"2015-07-09",56.060001,56.150002,55.439999,55.5,13623200,53.930039,130
"2015-07-10",56.330002,56.459999,55.860001,56.080002,13269600,54.493634,131
"2015-07-13",56.560001,56.759998,56.419998,56.740002,15521800,55.134964,132
"2015-07-14",56.459999,57.369999,56.389999,57.25,20066300,55.630535,133
"2015-07-15",57.41,58.16,57.259998,57.779999,17159400,56.145542,134
"2015-07-16",58.240002,58.349998,57.98,58.169998,13194500,56.524509,135
"2015-07-17",57.970001,58.049999,57.490002,57.939999,12963900,56.301016,136
"2015-07-20",57.990002,58.290001,57.880001,58.049999,9672900,56.407905,137
"2015-07-21",58.02,58.369999,57.75,57.950001,12504300,56.310735,138
"2015-07-22",58.07,58.59,57.990002,58.52,14871100,56.864611,139
"2015-07-23",58.73,58.77,58.07,58.209999,13582200,56.563379,140
"2015-07-24",58.18,58.34,57.700001,57.779999,13157300,56.145542,141
"2015-07-27",57.48,57.84,57.34,57.59,15495300,55.960918,142
"2015-07-28",57.73,57.84,57.16,57.400002,16730600,55.776294,143
"2015-07-29",57.599998,58.130001,57.419998,57.959999,13718400,56.32045,144
"2015-07-30",57.849998,58.189999,57.720001,58.150002,9864800,56.505078,145
"2015-07-31",58.23,58.25,57.790001,57.869999,12369800,56.232996,146
"2015-08-03",58.07,58.07,57.5,57.91,13085900,56.271866,147
